Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1128299.00,44364.00,Southeast,Florida,Orlando,Women's Apparel,103.00,218.00,2245.00,1257.00,Online
West Gear,1128299.00,44393.00,South,Louisiana,New Orleans,Women's Apparel,103.00,163.00,1679.00,806.00,Online
Sports Direct,1197831.00,44433.00,South,Alabama,Birmingham,Men's Street Footwear,10.00,700.00,7000.00,3150.00,Outlet
Sports Direct,1197831.00,44435.00,South,Alabama,Birmingham,Women's Street Footwear,15.00,575.00,8625.00,3881.00,Outlet
Sports Direct,1197831.00,44429.00,South,Alabama,Birmingham,Women's Street Footwear,15.00,475.00,7125.00,3206.00,Outlet
West Gear,1185732.00,44207.00,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,475.00,7125.00,2494.00,In-store
Sports Direct,1185732.00,44517.00,South,Mississippi,Jackson,Men's Athletic Footwear,20.00,450.00,9000.00,3150.00,Online
Sports Direct,1197831.00,44219.00,South,Mississippi,Jackson,Women's Street Footwear,15.00,450.00,6750.00,2700.00,Online
West Gear,1185732.00,44289.00,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20.00,450.00,9000.00,2700.00,In-store
Foot Locker,1185732.00,43900.00,Northeast,New York,New York,Men's Street Footwear,44.00,434.00,1910.00,993.00,Outlet
Foot Locker,1185732.00,44214.00,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,425.00,8500.00,2975.00,In-store
West Gear,1185732.00,44238.00,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,425.00,6375.00,2231.00,In-store
West Gear,1185732.00,44358.00,West,Utah,Salt Lake City,Women's Street Footwear,20.00,425.00,8500.00,2975.00,In-store
Amazon,1185732.00,44296.00,Midwest,Ohio,Columbus,Women's Street Footwear,20.00,425.00,8500.00,3400.00,Online
Foot Locker,1185732.00,44271.00,South,Mississippi,Jackson,Women's Street Footwear,15.00,425.00,6375.00,2550.00,Online
Walmart,1185732.00,44455.00,South,Mississippi,Jackson,Women's Street Footwear,20.00,425.00,8500.00,3400.00,Online
Walmart,1197831.00,44248.00,South,Arkansas,Little Rock,Women's Apparel,20.00,425.00,8500.00,3400.00,Online
Walmart,1197831.00,44490.00,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,425.00,8500.00,2975.00,Online
Walmart,1185732.00,43954.00,Northeast,New York,New York,Men's Street Footwear,48.00,420.00,2016.00,1129.00,Outlet
Walmart,1185732.00,43940.00,Northeast,New York,New York,Men's Street Footwear,39.00,408.00,1591.00,875.00,Outlet
Walmart,1185732.00,43948.00,Northeast,New York,New York,Men's Street Footwear,46.00,403.00,1854.00,1038.00,Outlet
West Gear,1185732.00,44265.00,West,Utah,Salt Lake City,Women's Street Footwear,20.00,400.00,8000.00,2800.00,In-store
West Gear,1185732.00,44358.00,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,400.00,8000.00,3200.00,In-store
West Gear,1185732.00,44480.00,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400.00,8000.00,2800.00,In-store
West Gear,1185732.00,44511.00,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,400.00,8000.00,2800.00,In-store
Walmart,1185732.00,44455.00,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,400.00,8000.00,3200.00,Online
Sports Direct,1197831.00,44248.00,South,Mississippi,Jackson,Women's Street Footwear,15.00,400.00,6000.00,2400.00,Online
Foot Locker,1185732.00,43894.00,Northeast,New York,New York,Men's Street Footwear,47.00,400.00,1880.00,978.00,Outlet
